RowNum,EVTYPE,mapEVTYPEjw10,mapEVTYPEosa10,adjustedEVTYPE,ManualAdjusted
79,HIGH WAVES,HIGH SURF,HIGH WIND,HIGH SURF,
46,HIGH WIND,HIGH WIND,HIGH WIND,HIGH WIND,
93,HIGH WIND AND SEAS,HIGH WIND,HIGH WIND,MARINE HIGH WIND,Yes
17,HIGH WIND/SEAS,HIGH WIND,HIGH WIND,MARINE HIGH WIND,Yes
24,HIGH WINDS,HIGH WIND,HIGH WIND,HIGH WIND,
87,HIGH WINDS/SNOW,HIGH WIND,HIGH WIND,HIGH WIND,
109,HURRICANE,HURRICANE (TYPHOON),SEICHE,HURRICANE (TYPHOON),
36,HURRICANE ERIN,HURRICANE (TYPHOON),HURRICANE (TYPHOON),HURRICANE (TYPHOON),
70,HURRICANE FELIX,HURRICANE (TYPHOON),HURRICANE (TYPHOON),HURRICANE (TYPHOON),
38,HURRICANE OPAL,HURRICANE (TYPHOON),HURRICANE (TYPHOON),HURRICANE (TYPHOON),
5,HURRICANE OPAL/HIGH WINDS,MARINE HIGH WIND,NA,HURRICANE (TYPHOON),Yes
155,HURRICANE/TYPHOON,HURRICANE (TYPHOON),HURRICANE (TYPHOON),HURRICANE (TYPHOON),
141,HYPERTHERMIA/EXPOSURE,HEAT,NA,EXCESSIVE HEAT,Yes
81,HYPOTHERMIA,ICE STORM,HEAVY RAIN,EXTREME COLD/WIND CHILL,Yes
125,Hypothermia/Exposure,HEAT,NA,EXTREME COLD/WIND CHILL,Yes
126,HYPOTHERMIA/EXPOSURE,HEAT,NA,EXTREME COLD/WIND CHILL,Yes
52,ICE,ICE STORM,SEICHE,ICE STORM,
152,ICE ON ROAD,ICE STORM,ICE STORM,ICE STORM,
32,ICE STORM,ICE STORM,ICE STORM,ICE STORM,
67,ICY ROADS,TROPICAL DEPRESSION,ICE STORM,ICE STORM,Yes
92,LANDSLIDE,FLASH FLOOD,WILDFIRE,DEBRIS FLOW,Yes
136,LANDSLIDES,FLASH FLOOD,SLEET,DEBRIS FLOW,Yes
148,LIGHT SNOW,LIGHTNING,LIGHTNING,LIGHT SNOW,Yes
9,LIGHTNING,LIGHTNING,LIGHTNING,LIGHTNING,
57,LIGHTNING.,LIGHTNING,LIGHTNING,LIGHTNING,
80,LOW TEMPERATURE,WINTER WEATHER ,NA,WINTER WEATHER ,
104,Marine Accident,MARINE HAIL,MARINE HAIL,MARINE HAIL,
167,MARINE HIGH WIND,MARINE HIGH WIND,MARINE HIGH WIND,MARINE HIGH WIND,
16,MARINE MISHAP,MARINE HAIL,MARINE HAIL,MARINE MISHAP,Yes
164,MARINE STRONG WIND,MARINE STRONG WIND,MARINE STRONG WIND,MARINE STRONG WIND,
163,MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND,
160,MARINE TSTM WIND,MARINE STRONG WIND,MARINE HIGH WIND,MARINE THUNDERSTORM WIND,Yes
95,MINOR FLOODING,LAKESHORE FLOOD,FLASH FLOOD,FLOOD,Yes
116,MIXED PRECIP,TROPICAL DEPRESSION,WILDFIRE,HEAVY RAIN,Yes
134,Mudslide,DUST DEVIL,SEICHE,DEBRIS FLOW,Yes
118,Mudslides,DUST DEVIL,SLEET,DEBRIS FLOW,Yes
124,RAIN/SNOW,MARINE STRONG WIND,HEAVY SNOW,HEAVY SNOW,Yes
72,RAIN/WIND,STRONG WIND,HIGH WIND,HEAVY RAIN,Yes
86,RAPIDLY RISING WATER,MARINE STRONG WIND,NA,STORM SURGE/TIDE,Yes
83,RECORD COLD,LAKESHORE FLOOD,DEBRIS FLOW,EXTREME COLD/WIND CHILL,Yes
142,RECORD HEAT,SEICHE,HEAT,EXCESSIVE HEAT,Yes
77,RECORD/EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,EXCESSIVE HEAT,
7,RIP CURRENT,RIP CURRENT,RIP CURRENT,RIP CURRENT,
69,RIP CURRENTS,RIP CURRENT,RIP CURRENT,RIP CURRENT,
64,RIP CURRENTS/HEAVY SURF,RIP CURRENT,NA,RIP CURRENT,
61,RIVER FLOOD,FLASH FLOOD,FLASH FLOOD,FLASH FLOOD,
94,RIVER FLOODING,FLOOD,FLASH FLOOD,FLASH FLOOD,Yes
145,ROUGH SEAS,DROUGHT,DROUGHT,HIGH SURF,Yes
103,ROUGH SURF,DROUGHT,HIGH SURF,HIGH SURF,Yes
20,SLEET,SLEET,SLEET,SLEET,
68,SNOW,STRONG WIND,FLOOD,HEAVY SNOW,Yes
50,SNOW AND ICE,STRONG WIND,WILDFIRE,HEAVY SNOW,Yes
140,SNOW SQUALL,STORM SURGE/TIDE,HIGH SURF,STRONG WIND,Yes
133,Snow Squalls,STORM SURGE/TIDE,HIGH SURF,STRONG WIND,Yes
84,SNOW/ BITTER COLD,ASTRONOMICAL LOW TIDE,NA,WINTER STORM,Yes
42,STORM SURGE,STORM SURGE/TIDE,STORM SURGE/TIDE,STORM SURGE/TIDE,
166,STORM SURGE/TIDE,STORM SURGE/TIDE,STORM SURGE/TIDE,STORM SURGE/TIDE,
119,STRONG WIND,STRONG WIND,STRONG WIND,STRONG WIND,
35,STRONG WINDS,STRONG WIND,STRONG WIND,STRONG WIND,
112,Strong Winds,STRONG WIND,STRONG WIND,STRONG WIND,
45,THUNDERSNOW,THUNDERSTORM WIND,HEAVY SNOW,HEAVY SNOW,Yes
149,THUNDERSTORM,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,
29,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,
146,THUNDERSTORM WIND (G40),THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,
78,THUNDERSTORM WIND G52,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,
15,THUNDERSTORM WINDS,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,
58,THUNDERTORM WINDS,THUNDERSTORM WIND,THUNDERSTORM WIND,THUNDERSTORM WIND,
1,TORNADO,TORNADO,TORNADO,TORNADO,
39,"TORNADOES, TSTM WIND, HAIL",TORNADO,NA,TORNADO,
101,TROPICAL STORM,TROPICAL STORM,TROPICAL STORM,TROPICAL STORM,
40,TROPICAL STORM GORDON,TROPICAL STORM,TROPICAL STORM,TROPICAL STORM,
2,TSTM WIND,HIGH WIND,HIGH WIND,THUNDERSTORM WIND,Yes
139,TSTM WIND (G35),STRONG WIND,COLD/WIND CHILL,THUNDERSTORM WIND,Yes
138,TSTM WIND/HAIL,MARINE HAIL,MARINE HAIL,THUNDERSTORM WIND,Yes
168,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,
76,UNSEASONABLY COLD,FUNNEL CLOUD,NA,COLD/WIND CHILL,Yes
34,UNSEASONABLY WARM,DUST STORM,NA,HEAT,Yes
75,UNSEASONABLY WARM AND DRY,MARINE THUNDERSTORM WIND,NA,HEAT,Yes
53,URBAN AND SMALL STREAM FLOODIN,MARINE THUNDERSTORM WIND,NA,LAKESHORE FLOOD,Yes
102,URBAN/SML STREAM FLD,COASTAL FLOOD,NA,COASTAL FLOOD,
41,WATERSPOUT,WATERSPOUT,WATERSPOUT,WATERSPOUT,
54,WATERSPOUT/TORNADO,WATERSPOUT,WATERSPOUT,WATERSPOUT,
115,Whirlwind,HIGH WIND,HIGH WIND,HIGH WIND,
26,WILD FIRES,WILDFIRE,WILDFIRE,WILDFIRE,
132,WILD/FOREST FIRE,WILDFIRE,WILDFIRE,WILDFIRE,
156,WILDFIRE,WILDFIRE,WILDFIRE,WILDFIRE,
37,WIND,WILDFIRE,FLOOD,STRONG WIND,Yes
51,WIND STORM,ICE STORM,ICE STORM,STRONG WIND,Yes
107,WINDS,WINTER STORM,FLOOD,STRONG WIND,Yes
4,WINTER STORM,WINTER STORM,WINTER STORM,WINTER STORM,
27,WINTER STORM HIGH WINDS,WINTER STORM,NA,WINTER STORM,
28,WINTER STORMS,WINTER STORM,WINTER STORM,WINTER STORM,
161,WINTER WEATHER,WINTER WEATHER ,WINTER WEATHER ,WINTER WEATHER ,
158,WINTER WEATHER/MIX,WINTER WEATHER ,WINTER WEATHER ,WINTER WEATHER ,
144,WINTRY MIX,WINTER STORM,WINTER STORM,WINTER STORM,
